seed,controller,update,transitions,mean_training_reward,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_target_conflict_step,cumulative_completed_episodes,cumulative_service_failure_episodes,partial_episode_steps,partial_episode_soc_kwh,partial_episode_ev_remaining_kwh,partial_episode_terminal_conflict_steps,partial_episode_roundoff_repair_steps
20260806,PPO-QP,1,512,-6.351511066232201,0,5,0,5,0,32,52.81185610750896,3.051165986533988e-10,0.0,0
20260806,PPO-QP,2,1024,-7.931746110186852,0,3,0,10,0,64,216.0844080769794,2.9543545387866743e-10,0.0,0
20260806,PPO-QP,3,1536,-5.868874872754362,0,8,0,16,0,0,125.0,36.664965786213905,0.0,0
20260806,PPO-QP,4,2048,-6.097218478356291,0,5,0,21,0,32,43.18352683898787,3.0266772421683186e-10,0.0,0
20260806,PPO-QP,5,2560,-6.446786592034492,0,5,0,26,0,64,224.76250010092764,3.0072133672121026e-10,0.0,0
20260806,PPO-QP,6,3072,-6.4335865287428184,2,7,0,32,0,0,125.0,46.68808172680302,0.0,0
20260806,PPO-QP,7,3584,-6.476640681130641,1,5,0,37,0,32,31.028901193233636,2.9908409082679555e-10,0.0,0
20260806,PPO-QP,8,4096,-7.046258218767289,0,6,0,42,0,64,195.44963563496506,2.998449821767224e-10,0.0,0
20260806,PPO-QP,9,4608,-5.584879058945498,0,5,0,48,0,0,125.0,33.580995968791754,0.0,0
20260806,PPO-QP,10,5120,-6.086274714313678,0,5,0,53,0,32,45.80246370875011,2.9965963044276123e-10,0.0,0
20260806,PPO-QP,11,5632,-6.617792103949759,0,5,0,58,0,64,25.0,3.0153435304214327e-10,0.0,0
20260806,PPO-QP,12,6144,-7.024705466561107,1,6,0,64,0,0,125.0,40.28788268904559,0.0,0
20260806,PPO-QP,13,6656,-6.217224676485681,2,6,0,69,0,32,29.188303338303484,2.9970759207742503e-10,0.0,0
20260806,PPO-QP,14,7168,-7.648329964405539,1,6,0,74,0,64,224.76248022894393,2.9961971792502595e-10,0.0,0
20260806,PPO-QP,15,7680,-6.187799189597989,0,5,0,80,0,0,125.0,45.998754474962965,0.0,0
20260806,PPO-QP,16,8192,-6.691198316123261,0,5,0,85,0,32,25.0,2.989096192784757e-10,0.0,0
20260806,PPO-QP,17,8704,-6.053989859460913,0,5,0,90,0,64,60.32353733836621,3.001971449201335e-10,0.0,0
20260806,PPO-QP,18,9216,-8.063931371488808,0,7,0,96,0,0,125.0,31.790522014363486,0.0,0
20260806,PPO-QP,19,9728,-7.053998801994597,0,4,0,101,0,32,25.0,0.0,0.0,0
20260806,PPO-QP,20,10240,-6.373482815168015,0,6,0,106,0,64,204.97887597545673,0.0,0.0,0
20260806,PPO-QP,21,10752,-6.0745448366508175,0,7,0,112,0,0,125.0,34.45645194737985,0.0,0
20260806,PPO-QP,22,11264,-7.9311587537196155,0,5,0,117,0,32,25.0,2.957717404328264e-10,0.0,0
20260806,PPO-QP,23,11776,-6.156160791428633,1,5,0,122,0,64,224.76250026998844,2.991658587525592e-10,0.0,0
20260806,PPO-QP,24,12288,-5.748607482380054,6,7,0,128,0,0,125.0,38.153004206929054,0.0,0
20260806,PPO-QP,25,12800,-6.9150216260727095,2,6,0,133,0,32,30.616990548515844,2.9776159315986206e-10,0.0,0
20260806,PPO-QP,26,13312,-5.9705223847893905,0,5,0,138,0,64,204.63993200313612,3.0250202343040655e-10,0.0,0
20260806,PPO-QP,27,13824,-4.572665703801805,0,5,0,144,0,0,125.0,50.045514673312184,0.0,0
20260806,PPO-QP,28,14336,-7.308801436960551,0,7,0,149,0,32,36.84250644532732,3.075034116228892e-10,0.0,0
20260806,PPO-QP,29,14848,-6.2375000632373006,0,5,0,154,0,64,169.10718851670833,3.0215252522225455e-10,0.0,0
20260806,PPO-QP,30,15360,-6.712009478080033,0,6,0,160,0,0,125.0,45.278102098739204,0.0,0
20260806,PPO-QP,31,15872,-6.358918410241875,0,7,0,165,0,32,83.50652967234944,0.0,0.0,0
20260806,PPO-QP,32,16384,-6.960187713421437,0,5,0,170,0,64,216.5412675355367,2.9992586192406634e-10,0.0,0
20260806,PPO-QP,33,16896,-6.155770630301715,0,5,0,176,0,0,125.0,46.930928749538324,0.0,0
20260806,PPO-QP,34,17408,-7.2109889471546325,0,4,0,181,0,32,53.368694737090244,3.0982622023500994e-10,0.0,0
20260806,PPO-QP,35,17920,-6.513746403083507,0,5,0,186,0,64,224.98389997453737,2.993237879778121e-10,0.0,0
20260806,PPO-QP,36,18432,-6.659789362991278,0,7,0,192,0,0,125.0,38.674305051978834,0.0,0
20260806,PPO-QP,37,18944,-7.74080596817544,0,5,0,197,0,32,107.37793427375368,3.047200825001539e-10,0.0,0
20260806,PPO-QP,38,19456,-6.315491651971383,0,5,0,202,0,64,200.53634260706227,3.035367512893572e-10,0.0,0
