controller,seed,selected_budget,states,mean_correction_reconstructed,mean_correction_seed_means,correction_absolute_difference,max_ev_reconstruction_residual_kwh,battery_raw_positive_fraction,battery_raw_plus_one_fraction,battery_raw_minus_one_fraction,battery_latent_min,battery_latent_max,battery_correction_mse_dimensionless,ev_correction_mse_dimensionless,lighting_correction_mse_dimensionless
PPO-QP,20260805,90,6240,2.2041453095043493,2.204145309504349,4.440892098500626e-16,4.973799150320701e-14,0.9980769230769231,0.023717948717948717,0.0,-0.2305120976896253,1.1615407314773074,0.4479973627032459,2.6049291849151395,2.0821913575418565
PPO-QP,20260806,90,6240,2.1412598946545995,2.141259894654599,4.440892098500626e-16,4.951594689828198e-14,0.8400641025641026,0.0,0.0,-0.7578676856566596,0.8905358603334488,0.1842645848926538,2.644109641312825,1.914355497212516
PPO-QP,20260807,90,6240,2.302357854085432,2.302357854085432,0.0,5.367928324062632e-14,0.8599358974358975,0.005608974358974359,0.0,-0.37462497986130894,1.0855842834148217,0.27032570468506373,1.7484053196894305,3.338559892052125
PPO-QP,20260808,90,6240,1.2091945067990602,1.2091945067990602,0.0,4.108949455296992e-14,0.7921474358974359,0.029487179487179487,0.0,-0.8229755474304253,1.5038359145849483,0.11264148481883966,1.077402376726086,0.3966332547476973
PPO-QP,20260809,90,6240,1.582543190272535,1.582543190272535,0.0,6.913913885853162e-14,0.7363782051282052,0.003044871794871795,0.0,-0.4983821832677731,1.0691255936336652,0.34488952594500266,1.5340469690013916,1.0595013337104768
PPO-QP-no-penalty,20260805,90,6240,2.274926465509659,2.274926465509659,0.0,4.629722566463309e-14,0.9993589743589744,0.0671474358974359,0.0,-0.1554741867739443,1.26404060458185,0.5557299792787652,2.953337447335438,1.962628696524125
PPO-QP-no-penalty,20260806,90,6240,2.2643073486815077,2.264307348681508,4.440892098500626e-16,5.750955267558311e-14,0.857852564102564,0.0,0.0,-0.6170379543803549,0.9928374131016969,0.2553152802578764,2.7338584659058958,2.3135115013056664
PPO-QP-no-penalty,20260807,90,6240,2.285144760097346,2.2851447600973454,4.440892098500626e-16,3.941291737419306e-14,0.8381410256410257,0.005128205128205128,0.0,-0.38433364193640535,1.0828041045889318,0.2667070358981503,1.7865705671490384,3.2351643238969006
PPO-QP-no-penalty,20260808,90,6240,1.152986355728516,1.152986355728516,0.0,6.677991493120317e-14,0.8091346153846154,0.04262820512820513,0.0,-0.8490399954142557,1.5853180157886197,0.1348370044433403,0.9548534915221026,0.35976537618056514
PPO-QP-no-penalty,20260809,90,6240,1.7010695703545045,1.7010695703545045,0.0,4.941880238362728e-14,0.7815705128205128,0.08157051282051282,0.0,-0.4323789094336523,1.2527189310943392,0.45203810100032815,1.5209480531631925,1.270273972906012
