controller,step,samples,battery_power_mean_kw,soc_step_end_mean_kwh,ramp_mean_kw,ramp_max_kw,ramp_excess_mean_kw,ramp_violation_fraction,ramp_material_violation_fraction,import_excess_mean_kw,export_excess_mean_kw,time_hours,ramp_violation_threshold_kw,ramp_material_violation_threshold_kw
MPC-H24+QP,0,65,1.0223901217324494,124.4966560303694,19.285302180478677,44.99999998883866,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-05
MPC-H24+QP,1,65,0.7540077762967675,124.029260104738,27.116233028317087,45.0,0.0,0.0,0.0,0.0,0.0,0.25,1e-09,1e-05
MPC-H24+QP,2,65,-1.4246586809303035,124.06169548903816,17.39687157978058,44.99999999189419,0.0,0.0,0.0,0.0,0.0,0.5,1e-09,1e-05
MPC-H24+QP,3,65,-6.374145054221267,125.40384441311649,17.541431819386563,45.0,0.0,0.0,0.0,0.0,0.0,0.75,1e-09,1e-05
MPC-H24+QP,4,65,-15.318650095859704,129.03018170556786,20.021428114812654,44.99999999189416,0.0,0.0,0.0,0.0,0.0,1.0,1e-09,1e-05
MPC-H24+QP,5,65,-13.21559331400437,132.11559564396597,18.985967660414715,45.00000003968545,6.105454330141724e-10,0.015384615384615385,0.0,0.0,0.0,1.25,1e-09,1e-05
MPC-H24+QP,6,65,-9.913973789069141,134.4346381030716,21.047624204344174,45.000000037059436,5.701451755157905e-10,0.015384615384615385,0.0,0.0,0.0,1.5,1e-09,1e-05
MPC-H24+QP,7,65,0.5700712552188713,134.08286861041816,21.74871820096411,44.999999993290444,0.0,0.0,0.0,0.0,0.0,1.75,1e-09,1e-05
MPC-H24+QP,8,65,15.010519363364741,130.01433901187372,27.192060057569478,44.99999999189414,0.0,0.0,0.0,0.0,0.0,2.0,1e-09,1e-05
MPC-H24+QP,9,65,24.28384551159044,123.49593886122192,25.014082158022788,44.999999991894235,0.0,0.0,0.0,0.0,0.0,2.25,1e-09,1e-05
MPC-H24+QP,10,65,19.73746084388617,118.12026610536994,22.317180909681568,44.9999999909179,0.0,0.0,0.0,0.0,0.0,2.5,1e-09,1e-05
MPC-H24+QP,11,65,12.653147048695697,114.50100631555189,28.05826112693785,45.0,0.0,0.0,0.0,0.0,0.0,2.75,1e-09,1e-05
MPC-H24+QP,12,65,-6.161966272129048,115.88376059754759,32.661267164818,45.0,0.0,0.0,0.0,0.0,0.0,3.0,1e-09,1e-05
MPC-H24+QP,13,65,-10.137398052096918,118.2742130616695,12.121552746613348,44.99999999189413,0.0,0.0,0.0,0.0,0.0,3.25,1e-09,1e-05
MPC-H24+QP,14,65,-10.900698151413938,120.80983939896043,15.680420747899111,44.99999999895207,0.0,0.0,0.0,0.0,0.0,3.5,1e-09,1e-05
MPC-H24+QP,15,65,-7.873584562099725,122.6506396468805,16.03215373876991,45.00000003876649,5.96407490915086e-10,0.015384615384615385,0.0,0.0,0.0,3.75,1e-09,1e-05
