controller,seed,budget,day,old_terminal_error_kwh,fixed_terminal_error_kwh,fixed_roundoff_repair_steps,fixed_terminal_ramp_relaxation_steps,checkpoint_sha256
PPO-QP-no-penalty,20260806,15,259,12.25369657697641,0.0,1,1,5370212dbb3cfacd5d69b18bb03873b14aafcc7dafd7b25f13732a76f5a82106
PPO-QP-no-penalty,20260806,15,273,27.96459687432329,0.0,1,2,5370212dbb3cfacd5d69b18bb03873b14aafcc7dafd7b25f13732a76f5a82106
PPO-QP,20260806,15,266,48.52754201722442,0.0,2,1,03c8461f84cb2dbea4f4edf3c94eb5d9ab79efe5932f0618e6d6dd05cb300ea4
PPO-QP,20260806,15,268,61.315701193591934,0.0,2,2,03c8461f84cb2dbea4f4edf3c94eb5d9ab79efe5932f0618e6d6dd05cb300ea4
PPO-QP,20260806,15,280,57.282276360708124,0.0,2,2,03c8461f84cb2dbea4f4edf3c94eb5d9ab79efe5932f0618e6d6dd05cb300ea4
PPO-QP,20260806,30,241,37.74290501118875,0.0,2,1,93f7887ebaf71819dc41601fe0832d934753cde4c2a837ad3df25a08b1815b51
PPO-QP,20260806,30,248,21.315597902479084,0.0,1,1,93f7887ebaf71819dc41601fe0832d934753cde4c2a837ad3df25a08b1815b51
PPO-QP,20260806,30,249,59.768950291155136,0.0,2,2,93f7887ebaf71819dc41601fe0832d934753cde4c2a837ad3df25a08b1815b51
PPO-QP,20260806,30,261,19.942643063660995,0.0,1,1,93f7887ebaf71819dc41601fe0832d934753cde4c2a837ad3df25a08b1815b51
PPO-QP,20260806,30,262,65.49186930743616,0.0,2,2,93f7887ebaf71819dc41601fe0832d934753cde4c2a837ad3df25a08b1815b51
PPO-QP,20260806,30,266,49.297504416356276,0.0,2,1,93f7887ebaf71819dc41601fe0832d934753cde4c2a837ad3df25a08b1815b51
PPO-QP,20260806,30,267,19.19537983862358,0.0,1,1,93f7887ebaf71819dc41601fe0832d934753cde4c2a837ad3df25a08b1815b51
PPO-QP,20260806,30,280,37.02528995940264,0.0,2,1,93f7887ebaf71819dc41601fe0832d934753cde4c2a837ad3df25a08b1815b51
PPO-QP,20260806,45,285,28.790696814752692,0.0,1,2,9c2a9c57b112dc9a99c7c7a6b9528e61567cf3bc50586927b9f3ad8f76453284
