controller,seed,day,charge_energy_final4_kwh,soc_change_final4_kwh,gross_import_cost_final4,export_excess_final4_kwh,forced_full_charge_steps_final4,any_forced_full_charge_final4
Rule+QP,0,300,0.0,-99.99999998992001,30.698894879928275,0.0,0,0
Rule+QP,0,301,4.3936531891678894e-08,-99.99999994818032,29.30183034864554,0.0,0,0
Rule+QP,0,302,6.589459047870738e-15,-99.99999998992001,36.74959403184751,0.0,0,0
Rule+QP,0,303,1.3764084691373809e-14,-99.99999998992001,37.13490675043681,0.0,0,0
Rule+QP,0,304,7.71416158359704e-08,-99.99999998992001,37.623723720065826,0.0,0,0
Rule+QP,0,305,3.3208132658708067e-08,-99.99999997937363,40.9114936320963,0.0,0,0
Rule+QP,0,306,7.718999283600622e-08,-99.99999998992001,39.195068651918156,0.0,0,0
Rule+QP,0,307,7.627152055704431e-08,-99.9999999378868,31.14739494814067,0.0,0,0
Rule+QP,0,308,1.1979364024584505e-07,-99.99999996891867,28.37172567383354,0.0,0,0
Rule+QP,0,309,7.698443369845564e-08,-99.99999995852741,38.9268345318412,0.0,0,0
Rule+QP,0,310,3.320098243650442e-08,-99.99999998992001,40.260475562602885,0.0,0,0
Rule+QP,0,311,9.768599161890781e-08,-99.99999997937363,40.26885542432545,0.0,0,0
Rule+QP,0,312,1.4223939361539263e-07,-99.99999991706429,38.79347218239683,0.0,0,0
Rule+QP,0,313,6.631402079232878e-08,-99.99999998992001,39.207725698774105,0.0,0,0
Rule+QP,0,314,4.394062751634745e-08,-99.99999998992001,32.03786297342378,0.0,0,0
Rule+QP,0,315,6.555215122248984e-08,-99.99999998992001,27.851385617334152,0.0,0,0
Rule+QP,0,316,6.625708450459073e-08,-99.99999997937363,38.174550607967056,0.0,0,0
Rule+QP,0,317,7.722840784763792e-08,-99.9999999793776,38.639057858834974,0.0,0,0
Rule+QP,0,318,8.814383168336415e-08,-99.99999998992001,38.18385884874837,0.0,0,0
Rule+QP,0,319,8.810000477952994e-08,-99.99999997937363,39.31960135953548,0.0,0,0
Rule+QP,0,320,2.2099538642474515e-08,-99.9999999793776,38.54672342381053,0.0,0,0
Rule+QP,0,321,1.090731321924864e-07,-99.99999996892157,30.817934319225966,0.0,0,0
Rule+QP,0,322,1.6371210540742543e-07,-99.99999991739111,29.314233474248322,0.0,0,0
