state_id,day,step,controller,policy_seed,selected_budget,repetition,elapsed_ms,mpc_status,mpc_fallback,qp_execution_path,executed_battery_power_kw,soc_after_kwh,grid_violation_kw
0,240,0,Rule+QP,0,0,1,1.4052,-1,0,hard_qp_solution,3.5534356661180194e-08,124.99999999064886,0.0
0,240,0,Rule+QP,0,0,2,1.4353,-1,0,hard_qp_solution,3.5534356661180194e-08,124.99999999064886,0.0
0,240,0,Rule+QP,0,0,3,1.3919,-1,0,hard_qp_solution,3.5534356661180194e-08,124.99999999064886,0.0
0,240,0,Rule+QP,0,0,4,1.3911,-1,0,hard_qp_solution,3.5534356661180194e-08,124.99999999064886,0.0
0,240,0,Rule+QP,0,0,5,1.388,-1,0,hard_qp_solution,3.5534356661180194e-08,124.99999999064886,0.0
0,240,0,MPC-H24+QP,0,0,1,25.7157,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,MPC-H24+QP,0,0,2,25.614,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,MPC-H24+QP,0,0,3,26.2264,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,MPC-H24+QP,0,0,4,25.9521,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,MPC-H24+QP,0,0,5,26.1207,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,NetLoadRule+QP,0,0,1,1.5438,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,NetLoadRule+QP,0,0,2,1.4597,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,NetLoadRule+QP,0,0,3,1.4446,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,NetLoadRule+QP,0,0,4,1.4538,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,NetLoadRule+QP,0,0,5,1.6491,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,MPC-H24-FRR+QP,0,0,1,21.9121,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,MPC-H24-FRR+QP,0,0,2,22.0136,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,MPC-H24-FRR+QP,0,0,3,21.3456,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,MPC-H24-FRR+QP,0,0,4,21.3932,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,MPC-H24-FRR+QP,0,0,5,21.2927,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
0,240,0,PPO-QP,20260805,90,1,1.5074,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP,20260805,90,2,1.4363,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP,20260805,90,3,1.4284,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP,20260805,90,4,1.3867,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP,20260805,90,5,1.3783,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP-no-penalty,20260805,90,1,1.3755,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP-no-penalty,20260805,90,2,1.3681,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP-no-penalty,20260805,90,3,1.3593,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP-no-penalty,20260805,90,4,1.3518,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
0,240,0,PPO-QP-no-penalty,20260805,90,5,1.3907,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
1,240,24,MPC-H24+QP,0,0,1,22.9155,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24+QP,0,0,2,22.235,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24+QP,0,0,3,22.6299,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24+QP,0,0,4,22.6547,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24+QP,0,0,5,23.5401,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,NetLoadRule+QP,0,0,1,1.5682,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,NetLoadRule+QP,0,0,2,1.5523,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,NetLoadRule+QP,0,0,3,1.5035,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,NetLoadRule+QP,0,0,4,1.4671,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,NetLoadRule+QP,0,0,5,1.4521,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24-FRR+QP,0,0,1,22.4226,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24-FRR+QP,0,0,2,22.4764,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24-FRR+QP,0,0,3,22.7018,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24-FRR+QP,0,0,4,22.2698,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,MPC-H24-FRR+QP,0,0,5,22.5894,0,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP,20260805,90,1,1.4828,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP,20260805,90,2,1.4302,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP,20260805,90,3,1.3962,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP,20260805,90,4,1.441,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP,20260805,90,5,1.3966,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP-no-penalty,20260805,90,1,1.4151,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP-no-penalty,20260805,90,2,1.3853,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP-no-penalty,20260805,90,3,1.4111,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP-no-penalty,20260805,90,4,1.3604,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP-no-penalty,20260805,90,5,1.387,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,Rule+QP,0,0,1,1.4522,-1,0,hard_qp_solution,8.703540294401073e-09,174.87499990481,0.0
1,240,24,Rule+QP,0,0,2,1.4995,-1,0,hard_qp_solution,8.703540294401073e-09,174.87499990481,0.0
1,240,24,Rule+QP,0,0,3,1.4829,-1,0,hard_qp_solution,8.703540294401073e-09,174.87499990481,0.0
