state_id,day,step,controller,repetition,elapsed_ms,mpc_status,mpc_fallback,phase1_status,phase2_feasible,qp_execution_path,executed_battery_power_kw,soc_after_kwh,grid_violation_kw
0,240,0,MPC-H24-XP+QP,0,70.7056,0,0,0,True,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
1,240,24,MPC-H24-XP+QP,0,29.9806,0,0,0,True,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
2,240,48,MPC-H24-XP+QP,0,174.5683,0,0,0,True,hard_qp_solution,-16.503721913251006,210.74022364325333,0.0
3,240,72,MPC-H24-XP+QP,0,15.7648,0,0,0,True,hard_qp_solution,-2.4810799243090484e-09,224.99999998816304,0.0
4,240,95,MPC-H24-XP+QP,0,3.3457,0,0,0,True,hard_qp_solution,99.99999998577502,125.0,0.0
5,252,0,MPC-H24-XP+QP,0,30.8317,0,0,0,True,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
6,252,24,MPC-H24-XP+QP,0,28.3551,0,0,0,True,hard_qp_solution,45.00000000870354,138.09539465167384,0.0
7,252,48,MPC-H24-XP+QP,0,476.4827,0,0,0,True,phase2_solution,0.9999998664459688,224.73684214040895,107.08287335912304
8,252,72,MPC-H24-XP+QP,0,18.8513,0,0,0,True,hard_qp_solution,3.4124486938420706e-08,224.99999998797963,0.0
9,252,95,MPC-H24-XP+QP,0,3.9472,0,0,0,True,hard_qp_solution,99.99999998575731,125.0,0.0
10,264,0,MPC-H24-XP+QP,0,43.3504,0,0,0,True,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
11,264,24,MPC-H24-XP+QP,0,62.9498,0,0,0,True,hard_qp_solution,26.405084794259885,134.67629339800467,0.0
12,264,48,MPC-H24-XP+QP,0,146.9407,0,0,0,True,phase2_solution,0.9999980072020621,224.73684262968368,39.687162470613394
13,264,72,MPC-H24-XP+QP,0,18.7652,0,0,0,True,hard_qp_solution,2.178895856291264e-08,224.9999999880629,0.0
14,264,95,MPC-H24-XP+QP,0,3.9313,0,0,0,True,hard_qp_solution,99.99999998575731,125.0,0.0
15,276,0,MPC-H24-XP+QP,0,40.6137,0,0,0,True,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
16,276,24,MPC-H24-XP+QP,0,38.12,0,0,0,True,hard_qp_solution,45.00000000870353,154.72039463834454,0.0
17,276,48,MPC-H24-XP+QP,0,40.1986,0,0,0,True,phase2_solution,0.9999985077506846,224.73684249796034,29.343697462386178
18,276,72,MPC-H24-XP+QP,0,18.7338,0,0,0,True,hard_qp_solution,3.4124294217198805e-08,224.9999999879797,0.0
19,276,95,MPC-H24-XP+QP,0,3.8415,0,0,0,True,hard_qp_solution,99.9999999857749,125.0,0.0
20,288,0,MPC-H24-XP+QP,0,39.4483,0,0,0,True,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
21,288,24,MPC-H24-XP+QP,0,66.282,0,0,0,True,hard_qp_solution,45.00000000870748,171.34539464606092,0.0
22,288,48,MPC-H24-XP+QP,0,1299.6656,0,0,0,True,hard_qp_solution,9.663704769811005,160.03782740465195,0.0
23,288,72,MPC-H24-XP+QP,0,19.227,0,0,0,True,hard_qp_solution,-44.99999994641541,214.21244603226123,0.0
24,288,95,MPC-H24-XP+QP,0,3.9464,0,0,0,True,hard_qp_solution,99.99999998083672,125.0,0.0
