controller,seed,episode,episode_seed,training_day,ending_update,ending_transition,service_failure,steps,cost,carbon,task_score,terminal_soc_kwh,terminal_soc_error_kwh,terminal_target_conflict_steps,terminal_roundoff_repair_steps,terminal_ramp_relaxation_steps,soc_violation_rate,soc_violation_steps,ev_completion,final_ev_remaining,lighting_energy_kwh,grid_excess_energy_kwh
PPO-QP-no-penalty,20260806,0,20260906,207,1,96,0,96,228.6561075454585,356.84591750384624,666.1060762791634,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260806,1,20261901,9,1,192,0,96,246.13670622054636,335.66818456826087,629.9354202630528,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,0.0
PPO-QP-no-penalty,20260806,2,20261997,4,1,288,0,96,204.68352329755047,311.36941233201685,581.8378399201886,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260806,3,20262093,42,1,384,0,96,125.52062356073714,164.7768953623552,369.45398209396996,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,59.335682675987634
PPO-QP-no-penalty,20260806,4,20262189,125,1,480,0,96,150.26865175907125,252.06792794029056,664.5528756452352,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,194.89603925765007
PPO-QP-no-penalty,20260806,5,20262285,58,2,576,0,96,196.5565524272172,246.30598504062615,467.1594986410985,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,3.0706009864857946
PPO-QP-no-penalty,20260806,6,20261969,14,2,672,0,96,128.43028073267996,171.80719781955582,578.4561871857776,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,255.50489945778318
PPO-QP-no-penalty,20260806,7,20262065,112,2,768,0,96,120.05123258065395,121.65011535810729,981.6387740747958,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,749.7984841641193
PPO-QP-no-penalty,20260806,8,20262161,224,2,864,0,96,136.54814607875312,238.43412293950115,841.6421717467992,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,397.81559308524413
PPO-QP-no-penalty,20260806,9,20262257,231,2,960,0,96,134.92752937403384,227.06992664205322,880.6235493429531,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,457.55856410974786
PPO-QP-no-penalty,20260806,10,20262353,89,3,1056,0,96,164.13723512620757,166.21332535327122,560.7767462103984,125.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0,472.5,244.2317598565557
PPO-QP-no-penalty,20260806,11,20262037,41,3,1152,0,96,201.3663197374979,265.0423963646244,497.90482074787724,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260806,12,20262133,232,3,1248,0,96,259.2317031090838,429.82932082662,800.345066766924,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260806,13,20262229,191,3,1344,0,96,186.64391221549303,278.904994098566,555.1623278717416,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,33.367303031679015
PPO-QP-no-penalty,20260806,14,20262325,169,3,1440,0,96,172.62167463879615,239.9093619414365,455.171144252912,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,5.021229969492115
PPO-QP-no-penalty,20260806,15,20262421,71,3,1536,0,96,166.58026650070687,216.31470738903954,461.669672852842,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,54.71076931457484
PPO-QP-no-penalty,20260806,16,20262517,229,4,1632,0,96,218.38482209184264,338.94597262341495,632.8378675021274,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260806,17,20262201,198,4,1728,0,96,188.73198105701718,310.9226427679297,580.3387737492103,125.0,0.0,0.0,0,2,0.0,0.0,1.0,3.3306690738754696e-16,472.5,0.8583734742098552
PPO-QP-no-penalty,20260806,18,20262297,185,4,1824,0,96,198.79183008352044,284.13929103149724,532.1991228082555,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,0.0
PPO-QP-no-penalty,20260806,19,20262393,212,4,1920,0,96,207.73290705069726,348.62735379797624,649.1920617743481,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
