controller,seed,episode,episode_seed,training_day,ending_update,ending_transition,service_failure,steps,cost,carbon,task_score,terminal_soc_kwh,terminal_soc_error_kwh,terminal_target_conflict_steps,terminal_roundoff_repair_steps,terminal_ramp_relaxation_steps,soc_violation_rate,soc_violation_steps,ev_completion,final_ev_remaining,lighting_energy_kwh,grid_excess_energy_kwh
PPO-QP,20260807,0,20260907,211,1,96,0,96,280.30162690901926,407.24222120824834,761.5904485745571,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,1,20261902,209,1,192,0,96,170.14256898533583,271.32852804841923,563.410861821898,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,56.95103362294624
PPO-QP,20260807,2,20261998,201,1,288,0,96,191.35180425385275,318.2856024564247,593.6551781855474,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.7906153167043946
PPO-QP,20260807,3,20262094,73,1,384,0,96,168.4706093116071,208.12465395115123,464.08406626638384,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,71.69155254739913
PPO-QP,20260807,4,20262190,229,1,480,0,96,219.6439473977201,339.26421144548345,633.1068612369332,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,5,20262286,134,2,576,0,96,182.8689353696514,289.48319948806505,550.129245051829,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,9.776350008950665
PPO-QP,20260807,6,20261970,36,2,672,0,96,251.53967760051063,331.5738531115582,622.3915291014438,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,0.0
PPO-QP,20260807,7,20262066,58,2,768,0,96,197.35259503316195,247.7804660920849,469.6339869426912,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,3.070600985650882
PPO-QP,20260807,8,20262162,148,2,864,0,96,157.29273214349993,204.07244838845884,401.28377553703507,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,17.26288533903277
PPO-QP,20260807,9,20262258,3,2,960,0,96,197.12032790473597,293.16459946378774,547.8927566455305,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,0.0
PPO-QP,20260807,10,20262354,211,3,1056,0,96,280.3704182003141,407.60812982981884,762.2708620850158,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,11,20262038,12,3,1152,0,96,228.86680967854807,275.587504930641,522.2100396100033,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,2.739175608456351
PPO-QP,20260807,12,20262134,101,3,1248,0,96,166.19830165590537,162.97469006077796,318.11645645706295,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,7.1983459227334805
PPO-QP,20260807,13,20262230,53,3,1344,0,96,178.13990387346047,238.13453600166207,500.8107717917682,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,53.35556514922255
PPO-QP,20260807,14,20262326,0,3,1440,0,96,114.85764558788827,152.4133509015957,719.904618342256,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,433.1055237414949
PPO-QP,20260807,15,20262422,222,3,1536,0,96,287.84604506526404,305.20600036857354,579.0317645340208,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,0.0
PPO-QP,20260807,16,20262518,55,4,1632,0,96,151.5429306682665,219.69202206885384,808.618859767633,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,397.0692308230275
PPO-QP,20260807,17,20262202,143,4,1728,0,96,366.7379268628242,458.1019399982707,1169.5458091416813,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,289.77503718924817
PPO-QP,20260807,18,20262298,133,4,1824,0,96,126.10575054714647,211.92369303868134,923.9698259381779,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,528.9734897877214
PPO-QP,20260807,19,20262394,204,4,1920,0,96,237.9696142343518,363.7432395202857,793.3652162489464,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,107.44807141566936
PPO-QP,20260807,20,20262490,160,4,2016,0,96,158.24421541550396,215.25869661310156,720.3721680475278,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,316.0494182690275
PPO-QP,20260807,21,20262586,32,5,2112,0,96,189.0494274416392,248.183785726387,466.47554372884196,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,22,20262270,63,5,2208,0,96,124.80394504543705,173.54809071670732,740.3668834756659,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,414.57018787083746
PPO-QP,20260807,23,20262366,215,5,2304,0,96,280.3373523871076,434.5006401746486,819.6185410889698,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,7.780661971292183
PPO-QP,20260807,24,20262462,221,5,2400,0,96,344.315064975342,346.8429365705702,659.3177475928607,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,0.0
PPO-QP,20260807,25,20262558,8,5,2496,0,96,206.74519980389488,287.8878015806869,544.0083700051555,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,4.605834621933128
PPO-QP,20260807,26,20262654,167,6,2592,0,96,146.87620973805352,212.61389809014472,602.3965173115953,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,203.91794837016317
PPO-QP,20260807,27,20262338,159,6,2688,0,96,202.26766567044882,255.59376948945987,486.51409426955576,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,5.305786924367594
PPO-QP,20260807,28,20262434,182,6,2784,0,96,134.22936401743692,204.23882500857619,747.434401067007,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,365.29351196865565
PPO-QP,20260807,29,20262530,224,6,2880,0,96,138.80428465975731,240.0973188922927,817.2122189153148,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,370.1969436662354
PPO-QP,20260807,30,20262626,141,6,2976,0,96,181.41960871988104,294.32870295423834,556.5929893036441,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,8.065632267856353
PPO-QP,20260807,31,20262722,20,6,3072,0,96,166.15877357267678,234.57364968349708,482.6071088430107,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,42.769955982471664
PPO-QP,20260807,32,20262818,44,7,3168,0,96,190.93287114856574,266.7813360287075,507.31892408935033,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,7.155111670584689
PPO-QP,20260807,33,20262502,163,7,3264,0,96,228.7431017353394,282.4122013285824,631.1580951110591,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,93.04962257742665
PPO-QP,20260807,34,20262598,234,7,3360,0,96,215.6445708232969,382.5961291445616,714.0009709884283,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,3.1928567058576056
PPO-QP,20260807,35,20262694,196,7,3456,0,96,131.58324118757326,229.3073946461744,977.4095543872031,125.0,0.0,0.0,0,0,0.0,0.0,1.0,5.551115123125783e-17,472.5,550.5094501194875
PPO-QP,20260807,36,20262790,180,7,3552,0,96,221.43605170065268,302.9560622415096,567.9090445031179,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,0.0
PPO-QP,20260807,37,20262886,103,8,3648,0,96,164.06055187104047,173.08401963447088,426.3732008206007,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,97.48707417627631
PPO-QP,20260807,38,20262570,2,8,3744,0,96,194.24322762871313,285.4685004070936,536.2486390296516,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,2.2965554896777176
PPO-QP,20260807,39,20262666,129,8,3840,0,96,229.26557732832447,379.22943504344875,705.8859570981795,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,40,20262762,112,8,3936,0,96,121.05802799626903,136.94862076228108,999.3708177810433,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,739.8259625951971
PPO-QP,20260807,41,20262858,36,8,4032,0,96,251.42717492981475,331.31581667118076,621.8685783691175,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,42,20262954,7,9,4128,0,96,122.4259306499333,166.54595357716406,742.9805615011007,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,430.0177265109718
PPO-QP,20260807,43,20262638,61,9,4224,0,96,199.2727505495497,250.237608688705,471.11083202928404,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,44,20262734,79,9,4320,0,96,193.80307171172242,228.3171200469769,437.4899140307553,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,6.603138107748739
PPO-QP,20260807,45,20262830,15,9,4416,0,96,204.6111455198019,264.62130443861844,497.49494187732756,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,46,20262926,208,9,4512,0,96,273.6945600228463,374.7338274944607,787.0573533499769,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,79.58105836931273
PPO-QP,20260807,47,20263022,74,9,4608,0,96,166.55031649785167,207.63459384328314,500.7267888209928,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,109.39228172142481
PPO-QP,20260807,48,20263118,102,10,4704,0,96,163.67025763577433,163.38681856198218,504.45461542323244,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,193.07572322573307
PPO-QP,20260807,49,20262802,118,10,4800,0,96,152.04765528036185,236.53410693457474,441.73325235163804,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,0.0
PPO-QP,20260807,50,20262898,160,10,4896,0,96,158.61705348001837,216.05832502553775,730.1206218078156,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,324.3455641771275
PPO-QP,20260807,51,20262994,17,10,4992,0,96,253.55545290316292,323.8153134026865,608.6314366520336,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,52,20263090,210,10,5088,0,96,145.29666736317395,231.06765854067342,740.824707508821,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,309.14303909259684
PPO-QP,20260807,53,20263186,87,11,5184,0,96,178.35056891727484,179.60901826055522,355.620519201634,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,13.6010675268397
PPO-QP,20260807,54,20262870,199,11,5280,0,96,197.55011636708875,317.50647194509406,598.0381119299899,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,6.219862843084621
PPO-QP,20260807,55,20262966,54,11,5376,0,96,175.83782359924456,237.8187195508195,486.34299736806685,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,39.68746733730053
PPO-QP,20260807,56,20263062,194,11,5472,0,96,334.4925690263168,436.5291800101247,840.8919361265397,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,19.77768447314466
PPO-QP,20260807,57,20263158,112,11,5568,0,96,121.09579054407142,136.93664428475603,999.8228739729009,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,740.2644534429722
PPO-QP,20260807,58,20263254,174,12,5664,0,96,172.5681675872429,246.68538725085767,474.9806744803741,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,13.041734715970946
PPO-QP,20260807,59,20262938,75,12,5760,0,96,165.40412156460002,199.52385214926733,565.4407293444298,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,188.73106883816283
PPO-QP,20260807,60,20263034,9,12,5856,0,96,244.2386255063089,330.03420230952327,618.8698031015222,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,61,20263130,24,12,5952,0,96,239.4184564056133,344.57208813701124,644.7285612726591,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,62,20263226,146,12,6048,0,96,129.5402905386718,184.1765240054674,660.6708961267808,125.0,0.0,0.0,0,0,0.0,0.0,1.0,1.6653345369377348e-16,472.5,315.23225592493213
PPO-QP,20260807,63,20263322,125,12,6144,0,96,153.88804943585376,270.08160151221625,704.6297502142676,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,201.94016558726807
PPO-QP,20260807,64,20263418,238,13,6240,0,96,135.5224284188559,293.4353815057792,979.149097187918,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,436.38125526282215
PPO-QP,20260807,65,20263102,144,13,6336,0,96,295.7725241296408,370.9929260727976,697.949143870515,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,66,20263198,86,13,6432,0,96,166.41398198735166,174.16798095049646,330.9699457595556,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,67,20263294,13,13,6528,0,96,149.72993346041193,200.93710529051972,377.68426121165203,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,68,20263390,3,13,6624,0,96,197.20267939780425,293.34459596861893,548.3217890896552,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,69,20263486,37,14,6720,0,96,288.15576316302713,353.76923359181376,666.0575771286527,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,70,20263170,162,14,6816,0,96,201.38419434807278,256.05423048134855,488.4219712745566,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,6.74897355497479
PPO-QP,20260807,71,20263266,172,14,6912,0,96,170.16065454214518,255.3398950663176,480.1503323352973,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,2.6277398267164016
PPO-QP,20260807,72,20263362,79,14,7008,0,96,194.12430736231855,228.5610868445427,437.9799614527294,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,6.6033022778255965
PPO-QP,20260807,73,20263458,233,14,7104,0,96,211.03968066576743,379.15047885322326,725.2255803685556,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,20.739399988998994
PPO-QP,20260807,74,20263554,208,15,7200,0,96,273.9404325141514,375.46108187940706,788.3921769574112,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,79.58105871680893
PPO-QP,20260807,75,20263238,68,15,7296,0,96,176.42561762100107,248.69225924142842,470.761176189728,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,4.5328082431806305
PPO-QP,20260807,76,20263334,55,15,7392,0,96,150.31979294729362,218.07785191540438,805.6058809044787,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,397.0422252473441
PPO-QP,20260807,77,20263430,143,15,7488,0,96,367.109149167897,458.48853746659717,1174.712815019822,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,293.8622961912303
PPO-QP,20260807,78,20263526,223,15,7584,0,96,162.47347152375744,254.55001557067376,638.9716171437042,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,163.6821801596954
PPO-QP,20260807,79,20263622,54,15,7680,0,96,176.1481618416141,237.65502591461316,486.12568540590536,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,39.68746730168047
PPO-QP,20260807,80,20263718,69,16,7776,0,96,158.61564320863906,220.62006078763278,413.5556840544546,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260807,81,20263402,100,16,7872,0,96,161.10090320568773,158.02486343922135,426.77700358508054,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,125.22906189824957
PPO-QP,20260807,82,20263498,62,16,7968,0,96,158.99425795672195,221.77241255276522,418.1547923102511,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,2.159602590069952
PPO-QP,20260807,83,20263594,109,16,8064,0,96,166.81914127168065,172.74353003329986,397.66438087551774,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,69.10448256363497
