controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms,raw_battery_kw,raw_ev_fraction,executed_ev_fraction,action_correction
Rule+QP,0,300,0,3.553031930976332e-08,124.99999999064991,166.70998761086986,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,45.0,0.0,1.0,97.70998765905667,30.0,125.0,125.0,96,-100.0,100.0,-421.0526315789474,380.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,40.87520000030054,0.0,0.65,0.6499999997890588,5.515661585214825e-10
Rule+QP,0,300,1,3.553031495470505e-08,124.99999998129982,169.75670265285746,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999996446968,45.00000003553032,0.0,1.0,100.75670270104425,30.0,124.99999999064991,125.0,95,-100.0,100.0,-421.0526316183162,379.9999999644696,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.767699996184092,0.0,0.65,0.6499999997890586,5.515663003051883e-10
Rule+QP,0,300,2,3.553031495470505e-08,124.99999997194973,160.36008807220185,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999996446969,45.00000003553031,0.0,1.0,91.36008812038865,30.0,124.99999998129982,125.0,94,-100.0,100.0,-421.05263165768497,379.9999999289393,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.1209999977145344,0.0,0.65,0.6499999997890586,5.515663003051883e-10
Rule+QP,0,300,3,1.1873151473072602e-09,124.99999997163728,150.55952482249367,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999996446969,45.00000003553031,0.0,0.3800625606345366,97.75577123237075,30.0,124.99999997194973,125.0,93,-100.0,100.0,-421.05263169705376,379.999999893409,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.307700000528712,0.0,0.65,0.3800625598551708,0.5398748802896585
Rule+QP,0,300,4,8.703537284825017e-09,124.99999996934687,128.20829625694375,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999999881268,45.00000000118732,0.0,7.793657867220342e-10,98.20829624415647,30.0,124.99999997163728,125.0,92,-100.0,100.0,-421.0526316983694,379.99999989222164,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0605999961844645,0.0,0.65,3.5818020771571923e-10,1.2999999992836395
Rule+QP,0,300,5,8.703486021799349e-09,124.99999996705648,129.2669192133599,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999999129646,45.00000000870354,0.0,4.2118557900631494e-10,99.2669192220634,30.0,124.99999996934687,125.0,91,-100.0,100.0,-421.05263170801317,379.9999998835181,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.375299998675473,0.0,0.65,0.0,1.3
Rule+QP,0,300,6,8.703486021799355e-09,124.99999996476609,126.09232310688047,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999999129651,45.00000000870349,0.0,4.2118557900631494e-10,96.09232311558395,30.0,124.99999996705648,125.0,90,-100.0,100.0,-421.05263171765694,379.9999998748146,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.480800001649186,0.0,0.65,0.0,1.3
Rule+QP,0,300,7,8.703486021799355e-09,124.9999999624757,125.31130594667803,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999999129651,45.00000000870349,0.0,4.2118557900631494e-10,95.31130595538151,30.0,124.99999996476609,125.0,89,-100.0,100.0,-421.0526317273007,379.9999998661111,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.4549000008846633,0.0,0.65,0.0,1.3
Rule+QP,0,300,8,8.707476404632926e-09,124.99999996018425,117.43268485641843,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999999129651,45.00000000870349,0.0,4.2118557900631494e-10,87.4326848651259,30.0,124.9999999624757,125.0,88,-100.0,100.0,-421.0526317369445,379.99999985740766,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.921200004289858,0.0,0.65,0.0,1.6401219466856727
Rule+QP,0,300,9,8.70348602179911e-09,124.99999995789386,122.03176279373093,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.999999991292526,45.000000008707474,0.0,4.2118557900631494e-10,92.03176280243441,30.0,124.99999996018425,125.0,87,-100.0,100.0,-421.0526317465926,379.99999984870016,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.453600005537737,0.0,0.65,0.0,1.3
