controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms
PPO-QP,20260805,300,0,45.0,113.15789473684211,142.7099876517283,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,45.0,0.0,1.0,97.70998765905667,30.0,125.0,125.0,96,-100.0,100.0,-421.0526315789474,380.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,146.17420000286074
PPO-QP,20260805,300,1,85.16527159091746,90.74598116028488,102.31750429757207,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,0.0,90.0,0.0,1.0,100.75670270104425,30.0,113.15789473684211,125.0,95,-100.0,100.0,-470.9141274238227,335.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9982000012532808
PPO-QP,20260805,300,2,90.69971888773074,66.87763408456627,53.73804960391851,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,40.165271590917456,100.0,0.0,0.38462800699976424,91.36008812038865,30.0,90.74598116028488,125.0,94,-100.0,100.0,-565.2800793251163,249.83472840908254,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0626000041374937
PPO-QP,20260805,300,3,92.74895260303168,42.4700149785053,35.00681865485409,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,45.69971888773074,100.0,0.0,8.120875823654691e-10,97.75577123237075,30.0,66.87763408456627,125.0,93,-100.0,100.0,-665.7783828018263,159.1350095213518,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.4457000035909005
PPO-QP,20260805,300,4,66.38605691832012,25.0,61.822239347798956,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,47.74895260303168,66.38605691832012,0.0,3.868372474199096e-10,98.20829624415647,30.0,42.4700149785053,125.0,92,-100.0,66.38605691832012,-768.547305353662,66.38605691832012,-166.38605691832012,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.7847999988589436
PPO-QP,20260805,300,5,0.0,25.0,129.26691922208096,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,0.0,0.0,2.0794051665736408e-11,99.2669192220634,30.0,25.0,125.0,91,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.456599999277387
PPO-QP,20260805,300,6,0.0,25.0,126.09232311558395,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.050150789874768e-11,96.09232311558395,30.0,25.0,125.0,90,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0678000000771135
PPO-QP,20260805,300,7,0.0,25.0,125.31130595538151,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.050150789874768e-11,95.31130595538151,30.0,25.0,125.0,89,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.6842000040924177
PPO-QP,20260805,300,8,0.0,25.0,117.43268486513152,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.050150789874768e-11,87.4326848651259,30.0,25.0,125.0,88,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.7011000018101186
PPO-QP,20260805,300,9,0.0,25.0,122.03176280245185,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.040797160892301e-11,92.03176280243441,30.0,25.0,125.0,87,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.7583000008016825
PPO-QP,20260805,300,10,0.0,25.0,121.22757467870277,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0117426243378606e-11,91.22757467870277,30.0,25.0,125.0,86,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.3415000032400712
PPO-QP,20260805,300,11,0.0,25.0,122.70537354762041,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0117426243378606e-11,92.70537354762041,30.0,25.0,125.0,85,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9347999987076037
