controller,one_step_counterfactual,steps,actual_endpoint_infeasible_steps,actual_import_infeasible_steps,actual_export_infeasible_steps,resolved_endpoint_infeasible_steps,resolved_import_infeasible_steps,resolved_export_infeasible_steps,new_endpoint_infeasible_steps,mean_change_minimum_excess_kw_all_steps,mean_change_attainable_grid_width_kw_all_steps,mean_daily_change_minimum_excess_kwh,subset_check_passed,monotonic_excess_check_passed
Rule+QP,remove_terminal_envelope,6240,526,0,526,0,0,0,0,0.0,2.4717524887169593,0.0,True,True
Rule+QP,remove_ramp_interval,6240,526,0,526,22,0,22,0,-0.059930090859124145,79.89699210985982,-1.4383221806189794,True,True
Rule+QP,remove_ev_lower_bound,6240,526,0,526,0,0,0,0,0.0,0.0,0.0,True,True
NetLoadRule+QP,remove_terminal_envelope,6240,295,0,295,0,0,0,0,2.2773805633336544e-18,2.7481752535114237,5.465713352000771e-17,True,True
NetLoadRule+QP,remove_ramp_interval,6240,295,0,295,6,0,6,0,-0.014927747993692411,84.69484522875362,-0.35826595184861787,True,True
NetLoadRule+QP,remove_ev_lower_bound,6240,295,0,295,0,0,0,0,0.0,4.251501487044898e-11,0.0,True,True
MPC-H24+QP,remove_terminal_envelope,6240,257,1,256,1,1,0,0,-0.0017657802246294299,1.332459985286152,-0.04237872539110632,True,True
MPC-H24+QP,remove_ramp_interval,6240,257,1,256,24,0,24,0,-0.05045668748526526,89.98154294060554,-1.2109604996463663,True,True
MPC-H24+QP,remove_ev_lower_bound,6240,257,1,256,1,1,0,0,-0.0017657802246294264,0.042422291036252266,-0.04237872539110624,True,True
MPC-H24-FRR+QP,remove_terminal_envelope,6240,270,0,270,0,0,0,0,3.416070845000482e-18,2.01486815027859,8.198570028001156e-17,True,True
MPC-H24-FRR+QP,remove_ramp_interval,6240,270,0,270,33,0,33,0,-0.08594771140860369,88.01724572394477,-2.0627450738064885,True,True
MPC-H24-FRR+QP,remove_ev_lower_bound,6240,270,0,270,0,0,0,0,0.0,0.0033169096979580336,0.0,True,True
MPC-H24-XP+QP,remove_terminal_envelope,6240,261,1,260,1,1,0,0,-0.0017657802246294264,1.3324599852845478,-0.04237872539110624,True,True
MPC-H24-XP+QP,remove_ramp_interval,6240,261,1,260,23,0,23,0,-0.044184506195181016,89.93076712757983,-1.0604281486843445,True,True
MPC-H24-XP+QP,remove_ev_lower_bound,6240,261,1,260,1,1,0,0,-0.0017657802246294264,0.04242229103642516,-0.04237872539110624,True,True
PPO-QP,remove_terminal_envelope,31200,1034,0,1034,0,0,0,0,1.8219044506669236e-18,2.865104169971511,4.3725706816006165e-17,True,True
PPO-QP,remove_ramp_interval,31200,1034,0,1034,107,0,107,0,-0.02983855935754053,69.67210325476307,-0.7161254245809727,True,True
PPO-QP,remove_ev_lower_bound,31200,1034,0,1034,0,0,0,0,0.0,1.0399140921599144e-11,0.0,True,True
PPO-QP-no-penalty,remove_terminal_envelope,31200,1020,0,1020,0,0,0,0,1.1386902816668272e-18,2.8651315789473686,2.7328566760003855e-17,True,True
PPO-QP-no-penalty,remove_ramp_interval,31200,1020,0,1020,120,0,120,0,-0.03269298734533134,68.57207697769272,-0.7846316962879522,True,True
PPO-QP-no-penalty,remove_ev_lower_bound,31200,1020,0,1020,0,0,0,0,0.0,1.0131975031048896e-11,0.0,True,True
