controller,step,time_hours,samples,soc_q25_kwh,soc_median_kwh,soc_q75_kwh,power_q25_kw,power_median_kw,power_q75_kw,forced_full_charge_fraction
DischargeBias+QP,80,20.25,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,81,20.5,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,82,20.75,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,83,21.0,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,84,21.25,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,85,21.5,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,86,21.75,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,87,22.0,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,88,22.25,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,89,22.5,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,90,22.75,65,25.0,25.0,25.0,0.0,0.0,0.0,0.0
DischargeBias+QP,91,23.0,65,30.0,30.0,30.0,-21.05263157894737,-21.05263157894737,-21.05263157894737,0.0
DischargeBias+QP,92,23.25,65,53.75,53.75,53.75,-100.0,-100.0,-100.0,1.0
DischargeBias+QP,93,23.5,65,77.5,77.5,77.5,-100.0,-100.0,-100.0,1.0
DischargeBias+QP,94,23.75,65,101.25,101.25,101.25,-100.0,-100.0,-100.0,1.0
DischargeBias+QP,95,24.0,65,125.0,125.0,125.0,-100.0,-100.0,-100.0,1.0
