controller,state_id,day,step,repetition,elapsed_ms,qp_execution_path,executed_battery_power_kw,soc_after_kwh,grid_violation_kw
DischargeBias+QP,0,240,0,1,1.4575,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,0,240,0,2,1.3866,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,0,240,0,3,1.3778,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,0,240,0,4,1.3597,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,0,240,0,5,1.3623,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,1,240,24,1,1.4215,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
DischargeBias+QP,1,240,24,2,1.3355,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
DischargeBias+QP,1,240,24,3,1.3416,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
DischargeBias+QP,1,240,24,4,1.3357,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
DischargeBias+QP,1,240,24,5,1.3669,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
DischargeBias+QP,2,240,48,1,1.3278,hard_qp_solution,-16.5037227140338,210.74022383343925,0.0
DischargeBias+QP,2,240,48,2,1.3401,hard_qp_solution,-16.5037227140338,210.74022383343925,0.0
DischargeBias+QP,2,240,48,3,1.3489,hard_qp_solution,-16.5037227140338,210.74022383343925,0.0
DischargeBias+QP,2,240,48,4,1.3296,hard_qp_solution,-16.5037227140338,210.74022383343925,0.0
DischargeBias+QP,2,240,48,5,1.5199,hard_qp_solution,-16.5037227140338,210.74022383343925,0.0
DischargeBias+QP,3,240,72,1,1.3393,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
DischargeBias+QP,3,240,72,2,1.3318,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
DischargeBias+QP,3,240,72,3,1.33,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
DischargeBias+QP,3,240,72,4,1.3679,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
DischargeBias+QP,3,240,72,5,1.3346,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
DischargeBias+QP,4,240,95,1,1.4699,hard_qp_solution,99.99999998577502,125.0,0.0
DischargeBias+QP,4,240,95,2,1.4853,hard_qp_solution,99.99999998577502,125.0,0.0
DischargeBias+QP,4,240,95,3,1.4645,hard_qp_solution,99.99999998577502,125.0,0.0
DischargeBias+QP,4,240,95,4,1.4638,hard_qp_solution,99.99999998577502,125.0,0.0
DischargeBias+QP,4,240,95,5,1.44,hard_qp_solution,99.99999998577502,125.0,0.0
DischargeBias+QP,5,252,0,1,1.3324,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,5,252,0,2,1.3376,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,5,252,0,3,1.3193,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,5,252,0,4,1.3493,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,5,252,0,5,1.3487,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,6,252,24,1,1.3408,hard_qp_solution,45.00000000870354,138.09539465167384,0.0
DischargeBias+QP,6,252,24,2,1.3275,hard_qp_solution,45.00000000870354,138.09539465167384,0.0
DischargeBias+QP,6,252,24,3,1.3231,hard_qp_solution,45.00000000870354,138.09539465167384,0.0
DischargeBias+QP,6,252,24,4,1.319,hard_qp_solution,45.00000000870354,138.09539465167384,0.0
DischargeBias+QP,6,252,24,5,1.345,hard_qp_solution,45.00000000870354,138.09539465167384,0.0
DischargeBias+QP,7,252,48,1,3.739,phase2_solution,0.9999998460321655,224.736842145781,107.08287333870923
DischargeBias+QP,7,252,48,2,3.7237,phase2_solution,0.9999998460321655,224.736842145781,107.08287333870923
DischargeBias+QP,7,252,48,3,3.7568,phase2_solution,0.9999998460321655,224.736842145781,107.08287333870923
DischargeBias+QP,7,252,48,4,3.7266,phase2_solution,0.9999998460321655,224.736842145781,107.08287333870923
DischargeBias+QP,7,252,48,5,3.8818,phase2_solution,0.9999998460321655,224.736842145781,107.08287333870923
DischargeBias+QP,8,252,72,1,1.3474,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,8,252,72,2,1.3407,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,8,252,72,3,1.3253,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,8,252,72,4,1.315,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,8,252,72,5,1.3187,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,9,252,95,1,1.4519,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,9,252,95,2,1.4618,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,9,252,95,3,1.5011,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,9,252,95,4,1.4719,hard_qp_solution,99.99999998575731,125.0,0.0
