controller,state_id,day,step,repetition,elapsed_ms,qp_execution_path,executed_battery_power_kw,soc_after_kwh,grid_violation_kw
DischargeBias+QP,0,240,0,0,133.6432,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,1,240,24,0,1.3449,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
DischargeBias+QP,2,240,48,0,1.3826,hard_qp_solution,-16.5037227140338,210.74022383343925,0.0
DischargeBias+QP,3,240,72,0,1.3557,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
DischargeBias+QP,4,240,95,0,1.5062,hard_qp_solution,99.99999998577502,125.0,0.0
DischargeBias+QP,5,252,0,0,1.3431,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,6,252,24,0,1.3259,hard_qp_solution,45.00000000870354,138.09539465167384,0.0
DischargeBias+QP,7,252,48,0,3.7901,phase2_solution,0.9999998460321655,224.736842145781,107.08287333870923
DischargeBias+QP,8,252,72,0,1.3624,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,9,252,95,0,1.4553,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,10,264,0,0,1.3448,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,11,264,24,0,1.3281,hard_qp_solution,45.00000000870748,129.78289465736057,0.0
DischargeBias+QP,12,264,48,0,3.7103,phase2_solution,0.9999987295753993,224.73684243958542,39.68716319298672
DischargeBias+QP,13,264,72,0,1.4728,hard_qp_solution,45.000000012019036,213.15789472747605,0.0
DischargeBias+QP,14,264,95,0,1.4362,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,15,276,0,0,1.3386,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,16,276,24,0,1.3335,hard_qp_solution,45.00000000870353,154.72039463834454,0.0
DischargeBias+QP,17,276,48,0,3.7145,phase2_solution,0.9999993887553245,224.736842266117,29.343698343390816
DischargeBias+QP,18,276,72,0,1.3479,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,19,276,95,0,1.4572,hard_qp_solution,99.9999999857749,125.0,0.0
DischargeBias+QP,20,288,0,0,1.3316,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,21,288,24,0,1.335,hard_qp_solution,45.00000000870748,171.34539464606092,0.0
DischargeBias+QP,22,288,48,0,1.3587,hard_qp_solution,9.663704701346656,160.0378274226689,0.0
DischargeBias+QP,23,288,72,0,1.3208,hard_qp_solution,45.000000008143836,191.68284077968656,0.0
DischargeBias+QP,24,288,95,0,1.4589,hard_qp_solution,99.99999998083672,125.0,0.0
