hour_index_0based,local_ac_w,official_replay_ac_w,absolute_difference_w,exact_match
0,0.0,0.0,0.0,True
1,0.0,0.0,0.0,True
2,0.0,0.0,0.0,True
3,0.0,0.0,0.0,True
4,0.0,0.0,0.0,True
5,0.0,0.0,0.0,True
6,0.0,0.0,0.0,True
7,105.367,105.367,0.0,True
8,352.338,352.338,0.0,True
9,524.294,524.294,0.0,True
10,623.755,623.755,0.0,True
11,661.022,661.022,0.0,True
12,643.13,643.13,0.0,True
13,580.941,580.941,0.0,True
14,474.241,474.241,0.0,True
15,307.131,307.131,0.0,True
16,52.592,52.592,0.0,True
17,0.0,0.0,0.0,True
18,0.0,0.0,0.0,True
19,0.0,0.0,0.0,True
20,0.0,0.0,0.0,True
21,0.0,0.0,0.0,True
22,0.0,0.0,0.0,True
23,0.0,0.0,0.0,True
24,0.0,0.0,0.0,True
25,0.0,0.0,0.0,True
26,0.0,0.0,0.0,True
27,0.0,0.0,0.0,True
28,0.0,0.0,0.0,True
29,0.0,0.0,0.0,True
30,0.0,0.0,0.0,True
31,105.145,105.145,0.0,True
32,356.766,356.766,0.0,True
33,530.939,530.939,0.0,True
34,635.137,635.137,0.0,True
35,675.816,675.816,0.0,True
36,657.509,657.509,0.0,True
37,586.415,586.415,0.0,True
38,479.423,479.423,0.0,True
39,312.827,312.827,0.0,True
40,56.788,56.788,0.0,True
41,0.0,0.0,0.0,True
42,0.0,0.0,0.0,True
43,0.0,0.0,0.0,True
44,0.0,0.0,0.0,True
45,0.0,0.0,0.0,True
46,0.0,0.0,0.0,True
47,0.0,0.0,0.0,True
48,0.0,0.0,0.0,True
49,0.0,0.0,0.0,True
50,0.0,0.0,0.0,True
51,0.0,0.0,0.0,True
52,0.0,0.0,0.0,True
53,0.0,0.0,0.0,True
54,0.0,0.0,0.0,True
55,101.242,101.242,0.0,True
56,354.328,354.328,0.0,True
57,533.932,533.932,0.0,True
58,645.286,645.286,0.0,True
59,697.09,697.09,0.0,True
60,686.934,686.934,0.0,True
61,622.758,622.758,0.0,True
62,500.529,500.529,0.0,True
63,323.314,323.314,0.0,True
64,58.374,58.374,0.0,True
65,0.0,0.0,0.0,True
66,0.0,0.0,0.0,True
67,0.0,0.0,0.0,True
68,0.0,0.0,0.0,True
69,0.0,0.0,0.0,True
70,0.0,0.0,0.0,True
71,0.0,0.0,0.0,True
72,0.0,0.0,0.0,True
73,0.0,0.0,0.0,True
74,0.0,0.0,0.0,True
75,0.0,0.0,0.0,True
76,0.0,0.0,0.0,True
77,0.0,0.0,0.0,True
78,0.0,0.0,0.0,True
79,102.146,102.146,0.0,True
80,359.925,359.925,0.0,True
81,534.967,534.967,0.0,True
82,636.237,636.237,0.0,True
83,671.712,671.712,0.0,True
84,652.393,652.393,0.0,True
85,590.376,590.376,0.0,True
86,486.515,486.515,0.0,True
87,322.367,322.367,0.0,True
88,62.323,62.323,0.0,True
89,0.0,0.0,0.0,True
90,0.0,0.0,0.0,True
91,0.0,0.0,0.0,True
92,0.0,0.0,0.0,True
93,0.0,0.0,0.0,True
94,0.0,0.0,0.0,True
95,0.0,0.0,0.0,True
96,0.0,0.0,0.0,True
97,0.0,0.0,0.0,True
98,0.0,0.0,0.0,True
